V_test,V_pred,MSE
0.18306681201721298,-4.823551,0.0298761225557682
0.14179725386272118,-4.9555445,0.0298761225557682
0.07530597251249824,-6.5825357,0.0298761225557682
0.1951457313694179,-4.548149,0.0298761225557682
0.12446856946865459,-6.3493958,0.0298761225557682
0.029727546652316788,-6.7037477,0.0298761225557682
0.09713988069571755,-4.944439,0.0298761225557682
0.09866069763483556,-5.903598,0.0298761225557682
0.08438139455831911,-6.6625395,0.0298761225557682
0.02063768891036047,-4.971533,0.0298761225557682
0.0,-6.8320475,0.0298761225557682
0.0,-6.7642345,0.0298761225557682
0.0,-6.882292,0.0298761225557682
0.0,-6.8332314,0.0298761225557682
0.0,-6.71757,0.0298761225557682
0.0,-6.735071,0.0298761225557682
0.0,-6.7584777,0.0298761225557682
0.0,-6.8666506,0.0298761225557682
0.0,-6.8617344,0.0298761225557682
0.0,-6.825769,0.0298761225557682
0.0,-6.854639,0.0298761225557682
0.0,-6.808095,0.0298761225557682
0.0,-6.803317,0.0298761225557682
0.0,-6.817564,0.0298761225557682
0.0,-6.7430353,0.0298761225557682
0.0,-6.8808675,0.0298761225557682
0.0,-6.741407,0.0298761225557682
0.0,-6.7943087,0.0298761225557682
0.0,-6.8032217,0.0298761225557682
0.0,-6.851754,0.0298761225557682
0.0,-6.8834615,0.0298761225557682
0.0,-6.837504,0.0298761225557682
0.0,-6.7867637,0.0298761225557682
0.0,-6.7237115,0.0298761225557682
0.0,-6.725738,0.0298761225557682
0.0,-6.7150793,0.0298761225557682
0.0,-6.7889442,0.0298761225557682
0.0,-6.7411423,0.0298761225557682
0.0,-6.7477217,0.0298761225557682
0.0,-6.7129126,0.0298761225557682
0.0,-6.857946,0.0298761225557682
0.0,-6.818416,0.0298761225557682
0.0,-6.798053,0.0298761225557682
0.0,-6.7705164,0.0298761225557682
0.0,-6.8392944,0.0298761225557682
0.0,-6.717913,0.0298761225557682
0.0,-6.7610908,0.0298761225557682
0.0,-6.745589,0.0298761225557682
0.0,-6.7285957,0.0298761225557682
0.0,-6.7752028,0.0298761225557682
0.0,-6.7568803,0.0298761225557682
0.0,-6.718514,0.0298761225557682
0.0,-6.7482224,0.0298761225557682
0.0,-6.7745504,0.0298761225557682
