t,S,Analytic,QNN$_7$,QNN$_4$,R-QNN$^{(2)}_4$,R-QNN$^{(3)}_4$
0.0,4.7137298499166205,1.998845284896056e-26,-0.7155287,-1.9353685,-0.542901,-0.23624279
0.0,4.802668148971651,5.424783367681278e-26,-0.72807074,-1.9591298,-0.551279,-0.24118282
0.0,4.891606448026682,1.4335178115301112e-25,-0.7405627,-1.9826514,-0.559632,-0.24613954
0.0,4.980544747081712,3.6925335944068397e-25,-0.7530296,-2.0059414,-0.56795996,-0.25115466
0.0,5.069483046136742,9.281148425964904e-25,-0.7654214,-2.0289912,-0.5762462,-0.25616145
0.0,5.1584213451917735,2.2785796709789432e-24,-0.7777715,-2.0518117,-0.58451575,-0.26120996
0.0,5.247359644246804,5.4691177746427186e-24,-0.7900882,-2.0743883,-0.5927436,-0.26626682
0.0,5.336297943301835,1.2845289835460303e-23,-0.8023381,-2.096733,-0.60094637,-0.2713654
0.0,5.425236242356865,2.9546524089439385e-23,-0.8145547,-2.1188445,-0.6091158,-0.27648067
0.0,5.5141745414118954,6.661127133216432e-23,-0.8267045,-2.1407156,-0.6172685,-0.28162098
0.0,5.603112840466927,1.4729665190061734e-22,-0.83880424,-2.1623554,-0.6253795,-0.28678632
0.0,5.692051139521957,3.1970546572059077e-22,-0.8508539,-2.1837533,-0.6334488,-0.29196
0.0,5.780989438576987,6.815721066201703e-22,-0.86283684,-2.2049215,-0.64150137,-0.2971754
0.0,5.869927737632018,1.4280913467108586e-21,-0.87480307,-2.225852,-0.6495206,-0.30237412
0.0,5.9588660366870485,2.9427051369467433e-21,-0.88668585,-2.2465425,-0.6575064,-0.30763125
0.0,6.047804335742079,5.9667162045737246e-21,-0.89851856,-2.2670078,-0.6654338,-0.31288838
0.0,6.13674263479711,1.1911353935774328e-20,-0.91029286,-2.2872353,-0.6733696,-0.3181789
0.0,6.22568093385214,2.342350660170776e-20,-0.92199206,-2.3072248,-0.6812636,-0.32346106
0.0,6.314619232907171,4.539677650147609e-20,-0.9336662,-2.3269768,-0.6890909,-0.32878494
0.0,6.403557531962202,8.675364528551186e-20,-0.94525695,-2.3464968,-0.6969015,-0.33412552
0.0,6.492495831017232,1.6354525151802934e-19,-0.9567976,-2.3657835,-0.70467037,-0.33947444
0.0,6.581434130072263,3.0427386359031823e-19,-0.96826315,-2.3848386,-0.71243924,-0.34484005
0.0,6.670372429127293,5.589185429535213e-19,-0.97967863,-2.4036515,-0.720133,-0.35023904
0.0,6.7593107281823235,1.0140568825250365e-18,-0.99102736,-2.422235,-0.7278101,-0.35564637
0.0,6.848249027237355,1.817905780963772e-18,-1.0023177,-2.4405828,-0.7354204,-0.3610537
0.0,6.937187326292385,3.221320745052639e-18,-1.0135496,-2.458699,-0.7430307,-0.36647773
