model_type,run_id_prefix,lr,epochs,n_qubits,n_layers,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
QNN,qnn,0.002,15000,3,3,1926,qnn_n_qubits_3_n_l_3_seed_1926,8.746971434447914e-05,1.714406132698059,22,1757.642439365387,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_3_n_l_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_3_n_l_3_seed_1926.json,0.00011126774916192517,0.00011128720878332387
QNN,qnn,0.002,15000,4,1,1924,qnn_n_qubits_4_n_l_1_seed_1924,0.00012473850802052766,2.4448750019073486,21,6031.811759710312,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_1_seed_1924.json,0.00016952732403296977,0.0001708518604573328
QNN,qnn,0.002,15000,4,1,1925,qnn_n_qubits_4_n_l_1_seed_1925,0.00014256531721912324,2.7942802906036377,21,6030.554758787155,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_1_seed_1925.json,0.00019183439144399017,0.00019028171518584714
QNN,qnn,0.002,15000,4,1,1926,qnn_n_qubits_4_n_l_1_seed_1926,9.038392454385757e-05,1.7715250253677368,21,5255.871417999268,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_1_seed_1926.json,0.00011622982856351882,0.000116926763439551
QNN,qnn,0.002,15000,4,2,1924,qnn_n_qubits_4_n_l_2_seed_1924,0.00014949562319088727,2.9301140308380127,25,1012.2106120586395,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_2_seed_1924.json,0.00020093585771974176,0.0002021525202144403
QNN,qnn,0.002,15000,4,2,1925,qnn_n_qubits_4_n_l_2_seed_1925,0.00014042902330402285,2.7524092197418213,25,1011.2178225517273,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_2_seed_1925.json,0.00019041889754589647,0.0001916223818261642
QNN,qnn,0.002,15000,4,2,1926,qnn_n_qubits_4_n_l_2_seed_1926,0.0001348085788777098,2.6422481536865234,25,1009.0647602081299,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_2_seed_1926.json,0.00018138001905754209,0.00018217875112895853
QNN,qnn,0.002,15000,4,3,1924,qnn_n_qubits_4_n_l_3_seed_1924,9.044216858455911e-05,1.772666573524475,29,1254.4930033683777,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_3_seed_1924.json,0.00011586889741010964,0.00011661054275464267
QNN,qnn,0.002,15000,4,3,1925,qnn_n_qubits_4_n_l_3_seed_1925,0.00017390305583830923,3.4085001945495605,29,1256.9471328258514,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_3_seed_1925.json,0.00023047308786772192,0.000231279556901427
QNN,qnn,0.002,15000,4,3,1926,qnn_n_qubits_4_n_l_3_seed_1926,8.10570054454729e-05,1.5887175798416138,29,1256.8245685100555,experimentos_pinn/modelos_salvos/modelo_qnn_n_qubits_4_n_l_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_qnn_n_qubits_4_n_l_3_seed_1926.json,0.00010920962085947394,0.000107545996652334
