S,V_Analytic_t0.00,V_Analytic_t0.50,V_Analytic_t1.00,V_QNN$_7$_t0.00,V_QNN$_7$_t0.50,V_QNN$_7$_t1.00,V_QNN$_4$_t0.00,V_QNN$_4$_t0.50,V_QNN$_4$_t1.00,V_R-QNN$^{(2)}_4$_t0.00,V_R-QNN$^{(2)}_4$_t0.50,V_R-QNN$^{(2)}_4$_t1.00,V_R-QNN$^{(3)}_4$_t0.00,V_R-QNN$^{(3)}_4$_t0.50,V_R-QNN$^{(3)}_4$_t1.00
0.0,0.0,0.0,0.0,-0.0076937675,0.08613348,0.21817923,-0.336062,0.03641188,0.4339218,-0.066655114,0.061318446,0.190527,-0.020416752,0.031011328,0.07563852
0.13344453711426188,7.421212195344016e-178,0.0,0.0,-0.028305054,0.066690445,0.1999712,-0.39055467,-0.021746159,0.37209213,-0.0807993,0.04699068,0.17606573,-0.025056377,0.027197823,0.07265113
0.26688907422852376,1.17106959056752e-137,2.384410383541214e-274,0.0,-0.04894972,0.047197342,0.18172145,-0.444507,-0.079368055,0.31080067,-0.0949101,0.032679606,0.16160445,-0.029796138,0.023259148,0.0695803
0.40033361134278567,1.486879592194101e-116,4.394939792751988e-232,0.0,-0.069577694,0.027695894,0.16340494,-0.4979232,-0.13644964,0.2500558,-0.108987525,0.01840191,0.1471682,-0.034611,0.019237027,0.066375956
0.5337781484570475,1.1671309952924964e-102,2.950307324820761e-204,0.0,-0.09018898,0.008161068,0.1450634,-0.55080116,-0.19298881,0.18984914,-0.123039916,0.0041409023,0.13274865,-0.039551035,0.01509808,0.063088164
0.6672226855713094,1.6929404976391136e-92,6.593805089005461e-184,0.0,-0.110800266,-0.011357069,0.12666345,-0.6031367,-0.24900019,0.13017863,-0.13707562,-0.010103416,0.11833744,-0.044574514,0.010875687,0.059683546
0.8006672226855713,1.3545834530661081e-84,4.415470995975789e-168,0.0,-0.13137817,-0.030908585,0.10823846,-0.6549382,-0.30446082,0.071044266,-0.15106125,-0.024314355,0.103959605,-0.049689785,0.0065448135,0.056178793
0.9341117597998332,3.4177008333843985e-78,2.9097779859480384e-155,0.0,-0.15196443,-0.050485134,0.0897634,-0.7061973,-0.35938948,0.012446046,-0.1650302,-0.038491916,0.08959846,-0.0548885,0.0021221489,0.052573904
1.067556296914095,7.446907236052322e-73,1.4196435516785983e-144,0.0,-0.17250896,-0.070044994,0.07126331,-0.75692654,-0.41377783,-0.045607686,-0.17895742,-0.052652787,0.07526235,-0.060187355,-0.0024173409,0.04886888
1.201000834028357,2.635870573600177e-68,1.8177662502316918e-135,0.0,-0.19304514,-0.08963823,0.052713156,-0.807105,-0.46763003,-0.1031211,-0.19285126,-0.06678863,0.060934592,-0.065578,-0.0070319325,0.04504703
1.3344453711426187,2.308311876958863e-64,1.4187790518528185e-127,0.0,-0.2135396,-0.10919809,0.034154654,-0.85675776,-0.5209398,-0.1600942,-0.20670338,-0.08089943,0.04663186,-0.071060434,-0.01174666,0.041141734
1.4678899082568806,6.706404708310341e-61,1.214778758148135e-120,0.0,-0.23401737,-0.12877464,0.015537739,-0.9058723,-0.5737135,-0.2165395,-0.22053047,-0.09496851,0.03234582,-0.07661797,-0.016569868,0.037119612
1.6013344453711427,7.99184059156898e-58,1.7451648028476998e-114,0.0,-0.2544701,-0.14835954,-0.003079176,-0.9544444,-0.6259468,-0.27243614,-0.23431583,-0.10901256,0.018118192,-0.082258955,-0.021459833,0.033014044
1.7347789824854045,4.5751549535637496e-55,5.773242994649226e-109,0.0,-0.27488112,-0.16793609,-0.02172947,-1.0024804,-0.6776461,-0.32779247,-0.24806781,-0.12303157,0.0038738735,-0.088000074,-0.026458278,0.028791651
1.8682235195996664,1.4196354321799915e-52,5.600487060320965e-104,0.0,-0.29525042,-0.18750429,-0.040396452,-1.0499781,-0.72880715,-0.38261682,-0.26177806,-0.13702555,-0.010337066,-0.093832985,-0.031565204,0.024485812
2.0016680567139282,2.623113218784687e-50,1.923499696347164e-99,0.0,-0.31556964,-0.20703912,-0.059080124,-1.0969418,-0.7794258,-0.43690294,-0.27543825,-0.15095277,-0.024514627,-0.09973265,-0.036747232,0.020079836
2.13511259382819,3.109909288631931e-48,2.716185578072148e-95,0.0,-0.33586383,-0.22657394,-0.077763796,-1.1433673,-0.8295125,-0.49064875,-0.28908175,-0.16488,-0.038667154,-0.10571577,-0.042012706,0.015573725
2.268557130942452,2.5124311355722093e-46,1.7789236968846822e-91,0.0,-0.35610795,-0.24610043,-0.09646416,-1.1892545,-0.87905884,-0.5438584,-0.30266684,-0.17876549,-0.0527863,-0.11179902,-0.04738666,0.010975823
2.402001668056714,1.452755754970689e-44,5.962422543112181e-88,0.0,-0.37632704,-0.26559353,-0.11518955,-1.2346119,-0.92806697,-0.59652984,-0.31619352,-0.19260092,-0.066888765,-0.117949024,-0.052835718,0.0062861294
2.5354462051709756,6.26145631448073e-43,1.1093629714190898e-84,0.0,-0.396446,-0.28505325,-0.13388991,-1.279429,-0.9765431,-0.64866513,-0.3297035,-0.20641132,-0.0809495,-0.12416579,-0.058376566,0.0014879555
2.6688907422852375,2.0809786826803285e-41,1.2263232855859177e-81,0.0,-0.4165399,-0.30451298,-0.15260696,-1.3237077,-1.024481,-0.70025384,-0.3431551,-0.22019668,-0.09499355,-0.13049938,-0.06400086,-0.003393665
2.8023352793994993,5.48760510147543e-40,8.528663444414098e-79,0.0,-0.4365754,-0.32393098,-0.17133236,-1.3674483,-1.0718765,-0.75131476,-0.3565566,-0.23393197,-0.108987525,-0.13688304,-0.0697086,-0.008375421
2.935779816513761,1.1764523279887694e-38,3.917780744297565e-76,0.0,-0.45653582,-0.34330726,-0.19005775,-1.4106631,-1.118736,-0.80183536,-0.36992472,-0.24762554,-0.122964814,-0.14335014,-0.07550813,-0.013440624
3.069224353628023,2.0935475125376326e-37,1.2393419104410883e-73,0.0,-0.4764378,-0.3626585,-0.20874143,-1.4533398,-1.1650634,-0.85181564,-0.38323444,-0.26127738,-0.13690872,-0.149884,-0.08139111,-0.018605962
3.2026688907422853,3.148525600424768e-36,2.798693126276587e-71,0.0,-0.4962814,-0.3819847,-0.22745013,-1.4954782,-1.2108567,-0.90126187,-0.3964941,-0.27487916,-0.15080257,-0.156518,-0.08736588,-0.023863092
