model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.002,15000,Tanh(),3,1,1924,mlp_n_3_b_1_seed_1924,0.00023774777946528047,4.659856796264648,13,15.288215637207031,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1924.json,0.000308622868033126,0.00030906731670256706
MLP,mlp,0.002,15000,Tanh(),3,1,1925,mlp_n_3_b_1_seed_1925,0.00014763932267669588,2.893730640411377,13,15.271125316619873,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1925.json,0.00019961145881097764,0.00020063817282789387
MLP,mlp,0.002,15000,Tanh(),3,1,1926,mlp_n_3_b_1_seed_1926,0.00011564236774574965,2.2665908336639404,13,15.276192665100098,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1926.json,0.00015744932170491666,0.00015826221206225455
MLP,mlp,0.002,15000,Tanh(),3,2,1900,mlp_n_3_b_2_seed_1900,1.2993778000236489e-05,0.25467801094055176,25,20.1503267288208,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1900.json,1.803535269573331e-05,1.903504668007372e-05
MLP,mlp,0.002,15000,Tanh(),3,2,1905,mlp_n_3_b_2_seed_1905,0.00011964785517193377,2.3450982570648193,25,20.15628480911255,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1905.json,0.00016405904898419976,0.00016568859005928972
MLP,mlp,0.002,15000,Tanh(),3,2,1924,mlp_n_3_b_2_seed_1924,6.120447505963966e-05,1.1996076107025146,25,20.252788543701172,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1924.json,8.255795546574518e-05,8.292493788758293e-05
MLP,mlp,0.002,15000,Tanh(),3,2,1925,mlp_n_3_b_2_seed_1925,9.969664097297937e-05,1.9540541172027588,25,20.188369035720825,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1925.json,0.00013540577492676675,0.00013863583706552162
MLP,mlp,0.002,15000,Tanh(),3,2,1926,mlp_n_3_b_2_seed_1926,1.279285061173141e-05,0.2507398724555969,25,20.20100712776184,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1926.json,1.7603331798454747e-05,1.762910294928588e-05
MLP,mlp,0.002,15000,Tanh(),3,3,1900,mlp_n_3_b_3_seed_1900,9.81520952336723e-06,0.19237813353538513,37,25.008136749267578,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1900.json,8.65713991515804e-06,9.609647777324427e-06
MLP,mlp,0.002,15000,Tanh(),3,3,1905,mlp_n_3_b_3_seed_1905,8.866663847584277e-06,0.17378659546375275,37,24.998416662216187,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1905.json,1.0192095942329615e-05,1.287138219595363e-05
