model_type,run_id_prefix,model_class,activation,lr,epochs,entangler,hidden,blocks,n_qubits,k,n_vertex,n_layers,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,2,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1924,1.2490067092585377e-05,0.24480536580085754,59,1211.0846869945526,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1924.json,5.152972153155133e-05,9.714052580420685e-06
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,2,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1925,1.3944279999122955e-05,0.2733078598976135,59,1207.5028145313263,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1925.json,1.8385437215329148e-05,2.9125112341716885e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,2,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1926,7.16046488378197e-05,1.4034513235092163,59,1211.0862956047058,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_2_seed_1926.json,0.00013745056639891118,8.174007140041794e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,3,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1924,2.5502205971861258e-05,0.4998433291912079,63,1550.5488958358765,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1924.json,3.561405173968524e-05,3.5609360747912436e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,3,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1925,2.5742992875166237e-05,0.5045626759529114,63,1511.1029493808746,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1925.json,3.962434857385233e-05,4.032809505588375e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,3,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1926,9.93598314380506e-06,0.194745272397995,63,1541.3787276744843,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_3_seed_1926.json,1.3233959180070087e-05,1.3450660935632186e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,5,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1924,2.6525302018853836e-05,0.5198959112167358,71,2137.5223467350006,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1924.json,0.00011440846719779074,1.2891278111055726e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,5,1925,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1925,1.2510973647295032e-05,0.24521513283252716,71,2129.4299206733704,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1925.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1925.json,1.7961208868655376e-05,1.875805630334071e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,5,5,1926,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1926,1.299114137509605e-05,0.2546263635158539,71,2222.441732406616,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1926.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_5_n_l_5_seed_1926.json,1.739471008477267e-05,3.3451878844061865e-05
HCQNN,hcqnn_basic_mlp,MLP,Tanh(),0.002,15000,basic,3,3,4,2,8,2,1924,hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1924,6.905693226144649e-06,0.13535162806510925,62,1759.5491750240326,experimentos_pinn/modelos_salvos/modelo_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_hcqnn_basic_mlp_n_3_b_3_n_qubits_4_k_2_n_vertex_8_n_l_2_seed_1924.json,8.277654160337988e-06,1.1782755327658379e-05
