model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.005,15000,Tanh(),2,2,1924,mlp_n_2_b_2_seed_1924,2.8675329303951003e-05,0.5620365738868713,15,19.878041744232178,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1924.json,4.354971679276787e-05,5.489153769303812e-05
MLP,mlp,0.005,15000,Tanh(),2,2,1925,mlp_n_2_b_2_seed_1925,5.261027399683371e-05,1.0311613082885742,15,19.912675857543945,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1925.json,7.123818068066612e-05,7.14830507786246e-05
MLP,mlp,0.005,15000,Tanh(),2,2,1926,mlp_n_2_b_2_seed_1926,0.0001044130403897725,2.0464956760406494,15,19.879588842391968,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_2_seed_1926.json,0.0001404894283041358,0.00014059200475458056
MLP,mlp,0.005,15000,Tanh(),2,3,1958,mlp_n_2_b_3_seed_1958,1.2149257599958219e-05,0.23812544345855713,21,24.604062795639038,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1958.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1958.json,1.658858855080325e-05,1.712543793473742e-05
MLP,mlp,0.005,15000,Tanh(),2,3,1962,mlp_n_2_b_3_seed_1962,0.00013358188152778894,2.6182050704956055,21,24.6034996509552,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1962.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1962.json,0.00020623307500500232,0.00022830183937912806
MLP,mlp,0.005,15000,Tanh(),2,3,1970,mlp_n_2_b_3_seed_1970,8.508081373292953e-05,1.6675840616226196,21,24.609029054641724,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1970.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1970.json,0.00011317778989905491,0.00011321057929308153
MLP,mlp,0.005,15000,Tanh(),2,3,1994,mlp_n_2_b_3_seed_1994,3.2542553526582196e-05,0.6378340721130371,21,51.908559799194336,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1994.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1994.json,5.10412355652079e-05,6.978686738875694e-05
MLP,mlp,0.005,15000,Tanh(),2,3,2002,mlp_n_2_b_3_seed_2002,2.2078877009334974e-05,0.43274593353271484,21,24.759839057922363,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_2002.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_2002.json,2.5812116291490383e-05,3.399109873498673e-05
MLP,mlp,0.005,15000,Tanh(),2,3,1900,mlp_n_2_b_3_seed_1900,3.593186556827277e-05,0.7042646408081055,21,24.700307607650757,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1900.json,5.410366429714486e-05,5.6477403122698886e-05
MLP,mlp,0.005,15000,Tanh(),2,3,1905,mlp_n_2_b_3_seed_1905,8.433607035840396e-06,0.1652987003326416,21,24.691091537475586,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1905.json,9.269097063224763e-06,9.303308497692341e-06
MLP,mlp,0.005,15000,Tanh(),2,3,1924,mlp_n_2_b_3_seed_1924,7.158332664403133e-06,0.14030331373214722,21,25.01504635810852,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1924.json,5.970131496724207e-06,5.983136406939593e-06
MLP,mlp,0.005,15000,Tanh(),2,3,1925,mlp_n_2_b_3_seed_1925,5.631485237245215e-06,0.11037708818912506,21,24.732900619506836,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_3_seed_1925.json,4.505217475525569e-06,5.563238196373277e-06
