run_id,timestamp,model_kind,seed,epochs,lr,hyperparams,loss_final,opt_num_params,param_count_fallback,model_state_path,optimizer_state_path,loss_csv_path,meta_path,train_seconds
20251020-121045_PINN-MLP_seed0_ep1000_lr0.02_neurons4_M5_activationTanh,20251020-121045,PINN-MLP,0,1000,0.02,"{""neurons"": 4, ""M"": 5, ""activation"": ""Tanh""}",0.0005876531358808279,97,97,results/bs_suite/20251020-121045_PINN-MLP_seed0_ep1000_lr0.02_neurons4_M5_activationTanh/model_state.pt,results/bs_suite/20251020-121045_PINN-MLP_seed0_ep1000_lr0.02_neurons4_M5_activationTanh/optimizer_state.pt,results/bs_suite/20251020-121045_PINN-MLP_seed0_ep1000_lr0.02_neurons4_M5_activationTanh/loss_history.csv,results/bs_suite/20251020-121045_PINN-MLP_seed0_ep1000_lr0.02_neurons4_M5_activationTanh/meta.json,2.592
20251020-121050_PINN-ResNet_seed0_ep1000_lr0.02_hidden4_blocks5_activationTanh,20251020-121050,PINN-ResNet,0,1000,0.02,"{""hidden"": 4, ""blocks"": 5, ""activation"": ""Tanh""}",0.00015429200720973313,217,217,results/bs_suite/20251020-121050_PINN-ResNet_seed0_ep1000_lr0.02_hidden4_blocks5_activationTanh/model_state.pt,results/bs_suite/20251020-121050_PINN-ResNet_seed0_ep1000_lr0.02_hidden4_blocks5_activationTanh/optimizer_state.pt,results/bs_suite/20251020-121050_PINN-ResNet_seed0_ep1000_lr0.02_hidden4_blocks5_activationTanh/loss_history.csv,results/bs_suite/20251020-121050_PINN-ResNet_seed0_ep1000_lr0.02_hidden4_blocks5_activationTanh/meta.json,5.097
